epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-16,Brazil,MG,TOTAL,16,16903,3049,811742,16903,811742,79.84868,3834.61672,0.02082,737190,2284178,2897457,13687.39953,396116,1.87123,120887,0.57106,,
107,2021-02-16,Brazil,MS,TOTAL,6,3166,574,172402,3160,171828,113.92645,6203.77361,0.01836,160856,1120,564915,20328.09809,97870,3.52179,27104,0.97532,,
107,2021-02-16,Brazil,MT,TOTAL,19,5504,1375,235529,5415,234173,157.95821,6759.40015,0.02337,221791,33588,899810,25823.46908,73748,2.11648,15698,0.45051,,
107,2021-02-16,Brazil,PA,TOTAL,10,8074,667,350338,8064,349671,93.85245,4072.34102,0.02305,328018,1238,980727,11400.00453,125031,1.45336,10190,0.11845,,
107,2021-02-16,Brazil,PB,TOTAL,17,4272,818,206397,4272,206397,106.31819,5136.64700,0.02070,155205,47948,627628,15619.91445,90742,2.25832,5509,0.13710,,
107,2021-02-16,Brazil,PE,TOTAL,34,10711,1582,282913,10711,282913,112.07409,2960.24797,0.03786,240595,2239,1159324,12130.53665,229060,2.39676,43804,0.45834,,
107,2021-02-16,Brazil,PI,TOTAL,9,3210,513,167102,3201,166589,98.06836,5105.11492,0.01921,163330,941,526792,16093.96476,61276,1.87204,987,0.03015,,
107,2021-02-16,Brazil,PR,TOTAL,77,10842,8000,597494,10842,597494,94.82282,5225.61000,0.01815,431787,13360,2227986,19485.69511,257305,2.25036,9569,0.08369,,
107,2021-02-16,Brazil,RJ,TOTAL,118,31630,8385,563926,31630,563926,183.20362,3266.30676,0.05609,529210,52017,2313502,13399.99790,405925,2.35115,,,,
107,2021-02-16,Brazil,RN,TOTAL,8,3446,277,158573,3416,157150,98.26474,4521.80345,0.02173,108220,72141,575207,16402.36987,75390,2.14979,5890,0.16796,,
107,2021-02-16,Brazil,RO,TOTAL,28,2561,749,138133,2561,138133,144.10106,7772.39798,0.01854,116261,196966,384917,21658.31563,37502,2.11014,120,0.00675,,
107,2021-02-16,Brazil,RR,TOTAL,0,995,371,78068,995,77697,164.25620,12887.59098,0.01275,74276,36964,176152,29079.45543,23272,3.84178,2140,0.35327,,
107,2021-02-16,Brazil,RS,TOTAL,20,11407,1897,588212,11407,588212,100.26158,5170.07685,0.01939,560483,1255,2425327,21317.36004,351812,3.09224,6675,0.05867,,
107,2021-02-16,Brazil,SC,TOTAL,32,6778,3757,619198,6778,619198,94.60154,8642.23757,0.01095,589504,108569,1531799,21379.54396,130338,1.81915,20504,0.28618,,
107,2021-02-16,Brazil,SE,TOTAL,5,2886,417,146094,2886,146094,125.54944,6355.51634,0.01975,135603,2993,304263,13236.33051,40185,1.74817,13756,0.59843,,
107,2021-02-16,Brazil,SP,TOTAL,398,56702,11496,1927410,56702,1927410,123.48252,4197.40836,0.02942,1689766,978315,8153498,17756.24317,1464160,3.18857,218224,0.47524,,
107,2021-02-16,Brazil,TO,TOTAL,3,1461,272,107832,1458,107560,92.88776,6855.76521,0.01355,97794,306,341198,21692.75704,28849,1.83417,497,0.03160,,
107,2021-02-16,Brazil,TOTAL,TOTAL,1092,241124,65284,9939100,240940,9921981,113.86896,4693.66368,0.02426,8859157,4549147,33767865,15946.61503,5326007,2.51517,557532,0.26329,,
107,2021-02-17,Brazil,AC,TOTAL,8,940,302,53892,940,53892,106.58382,6110.65441,0.01744,45648,10186,148107,16793.41448,14196,1.60964,468,0.05307,,
107,2021-02-17,Brazil,AL,TOTAL,10,2893,650,126326,2893,126326,86.68536,3785.21087,0.02290,120691,7734,303655,9098.66700,76743,2.29951,2822,0.08456,,
